School,NCAA Championships (TEAM),NCAA Championships (indiv.),NCAA Championships (TOTAL),Public/Private,Athletic-Related Student Aid Given,Graduation Rate (%GSR),Religious Affiliation,"# of Olympic Athletes (2024, 2022)",Head Coaches Compensation,Undergraduate Population,Conference Membership (NCAA),Athletic Revenue 
University of Alabama ,10,102,112,Public,15791766,95,N,17,19494209,28886,SEC,191190486
Arizona State,25,153,178,Public,16309904,93,N,24,11672144,59765,BIG 12,128265591
University of Arizona,19,180,199,Public,16001474,89,N,13,18371613,30136,BIG 12,138761638
Arkansas,52,183,235,Public,14493220,88,N,20,15105930,23395,SEC,170990473
Auburn University,15,151,166,Public,18923338,94,N,10,16527620,22946,SEC,192658903
Baylor,5,45,50,Private,19753513,94,Y,8,13509795,14885,BIG 12,
Boston College,6,6,12,Private,24103054,98,Y,5,9290604,9593,ACC,118430392
Brown,7,20,27,Private,0,98,N,6,4372417,7166,IVY,36265052
Brigham Young University,11,87,98,Private,6552354,80,Y,9,12554719,28254,BIG 12,106430702
Cinncinati,2,6,8,Public,10574673,97,N,6,2126352,24865,BIG 12,77436016
Clemson University,3,38,41,Public,13497485,97,N,10,16311467,21714,ACC,152093316
Colorado (Boulder),28,149,177,Public,12226477,90,N,12,15055247,28654,BIG 12,136114468
Columbia University,16,60,76,Private,0,99,N,8,4600921,8263,IVY,38335736
Cornell University,5,33,38,Private,0,98,N,12,4257899,15,627,IVY,36342322
Dartmouth,4,58,62,Private,0,97,N,14,3904243,4411,IVY,22764576
Duke,17,25,42,Private,27601160,98,Y,18,10073920,6543,ACC,152509818
University of Florida,43,344,387,Public,10857851,95,N,41,15200287,30690,SEC,176795879
Florida State University,12,80,92,Public,7817568,87,N,26,11610326,29475,ACC,170434508
University of Georgia,31,235,266,Public,11853773,86,N,33,21927930,28758,SEC,210108069
Georgia Tech,1,27,28,Public,13993569,92,N,9,10985622,16110,ACC,115654077
Harvard,11,96,107,Private,0,99,N,32,5115420,7403,IVY,39568660
University of Houston,17,66,83,Public,8521656,80,N,6,10169462,27063,BIG 12,84023065
University of Illinois,18,169,187,Public,13412751,95,N,6,14424984,33273,BIG 10,134767269
Indiana University,24,169,193,Public,18539298,90,N,20,11567846,34537,BIG 10,143221485
Iowa,26,140,166,Public,13449976,89,N,9,14343240,20136,BIG 10,166886577
Iowa State,26,126,152,Public,9985420,95,N,8,10213868,23931,BIG 12,93048114
Kansas,12,74,86,Public,16345123,90,N,10,6990604,16729,BIG 12,205747275
Kansas State,0,40,40,Public,8468185,93,N,2,9361782,13419,BIG 12,102332761
University of Kentucky,14,48,62,Public,15260751,92,N,17,21098120,20744,SEC,100827072
Louisiana State University (LSU),47,241,288,Public,"12,591,115",91,N,32,"21,143,699","26,396",SEC,"200,476,979"
Louisville,3,23,26,Public,"14,936,597",93,N,12,"13,814,874","11,266",ACC,"155,191,814"
University of Maryland,32,15,47,Public,"19,077,400",88,N,15,"14,905,054","27,912",ACC,"121,183,392"
Univeristy of Miami,5,67,72,Private,"25,440,239",94,N,13,"11,674,995","11,840",ACC,"159,633,958"
University of Michigan,36,331,367,Public,"31,877,274",96,N,45,"19,090,866","31,148",BIG 10,"206,514,688"
Michigan State University,20,106,126,Public,"16,855,910",91,N,3,"18,864,134","35,872",BIG 10,"149,254,610"
University of Minnesota,19,100,119,Public,"16,066,474",95,N,9,"11,846,850","28,458",BIG 10,"136,614,891"
Mississippi State,1,23,24,Public,"12,548,309",91,N,8,"11,195,081","16,581",SEC,"115,664,788"
University of Missouri,2,38,40,Public,"10,359,116",87,N,2,"12,087,289","21,953",SEC,"124,293,939"
University of Nebraska,21,136,157,Public,"12,881,081",94,N,14,"12,677,968","18,170",BIG 10,"147,554,754"
NC State,5,51,56,Public,"12,632,139",92,N,13,"13,152,148","23,645",ACC,"101,574,506"
University of North Carolina,50,67,117,Public,"15,137,889",92,N,14,"11,552,210","19,162",ACC,"137,918,817"
Northwestern,10,1,11,Private,"25,335,682",98,N,13,"13,080,554","8,588",BIG 10,"117,587,514"
University of Notre Dame,24,77,101,Private,"29,706,537",98,Y,16,"15,418,920","8,899",ACC,"224,191,928"
Ohio State University,32,266,298,Public,"23,555,566",93,N,25,"19,819,481","42,186",BIG 10,"$161,588,583"
University of Oklahoma,37,178,215,Public,"18,610,704",89,N,6,"16,012,452","18,479",SEC,"183,919,881"
Oklahoma State,53,183,236,Public,"8,880,887",92,N,12,"13,762,084","18,220",BIG 12,"119,235,776"
Ole Miss,2,33,35,Public,"10,884,160",90,N,7,"17,857,554","16,149",SEC,"136,764,296"
Oregon State,4,39,43,Public,"10,378,374",88,N,7,"6,283,776","19,707",PAC 12,"97,792,784"
University of Oregon,34,170,204,Public,"13,231,562",85,N,20,"12,501,660","18,185",BIG 10,"132,359,145"
University of Pennsylvania,4,39,43,Private,0,96,N,13,"4,283,248","10,153",IVY,"46,277,380"
Penn State University ,54,184,238,Public,"23,388,386",93,N,12,"16,747,741","40,475",BIG 10,"156,921,693"
University of Pittsburgh,0,49,49,Public,"17,626,222",93,N,0,"16,170,698","19,233",ACC,"136,704,076"
Princeton,24,72,96,Private,0,98,N,26,"5,998,176","5,527",IVY,"44,300,839"
Purdue ,3,30,33,Public,"12,047,825",87,N,14,"11,749,056","36,475",BIG 10,"124,290,313"
Rutgers,1,25,26,Public,"21,164,955",93,N,5,"13,793,920","34,630",BIG 10,"130,221,793"
